close,high,low,open,timestamp,volume
21639,21939,21454,21803,1675987200,1503.99323818
21868,21904,21610,21631,1676073600,699.37255295
21789,22086,21649,21868,1676160000,1481.78576998
21790,21897,21376,21790,1676246400,1923.03740841
22211,22316,21569,21790,1676332800,2032.44280719
24332,24374,22064,22208,1676419200,2316.23830307
23521,25270,23520,24332,1676505600,3634.80024930
24580,25014,23369,23518,1676592000,3328.63120407
24640,24869,24450,24577,1676678400,721.18871725
24296,25183,24211,24638,1676764800,1717.15816149
24843,25118,23862,24271,1676851200,1828.53775073
24450,25250,24165,24843,1676937600,2506.05738181
24188,24474,23594,24450,1677024000,1951.95970979
23939,24590,23636,24188,1677110400,2000.28221308
23189,24124,22865,23939,1677196800,2782.78873072
23161,23215,22770,23186,1677283200,863.37221739
23562,23678,23068,23166,1677369600,1019.20088770
23493,23890,23126,23560,1677456000,1768.12573577
23136,23594,23048,23497,1677542400,1185.70463735
23634,23990,23040,23146,1677628800,1748.04686969
23466,23791,23206,23632,1677715200,1090.90317933
22359,23477,22000,23469,1677801600,2878.02219561
22347,22401,22170,22359,1677888000,608.34767678
22428,22652,22212,22347,1677974400,944.66432972
22407,22590,22263,22427,1678060800,1156.23472957
22200,22547,21931,22414,1678147200,1837.72234137
21704,22275,21590,22197,1678233600,1477.18402948
20367,21824,20043,21697,1678320000,3373.14910671
20220,20368,19569,20368,1678406400,4695.23685366
20618,20874,19893,20226,1678492800,3590.95407524
22183,22269,20456,20615,1678579200,3599.49467653
24209,24618,21900,22190,1678665600,6738.26574302
24750,26533,24070,24210,1678752000,7966.02323163
24368,25273,23940,24745,1678838400,4368.44571382
25050,25217,24229,24361,1678924800,2430.85019301
27466,27818,24954,25051,1679011200,5166.28277037
26980,27776,26707,27466,1679097600,2933.79686267
28054,28474,26900,26992,1679184000,2615.71251826
27815,28567,27231,28081,1679270400,3998.09358215
28192,28497,27436,27808,1679356800,2955.11628597
27320,28936,26688,28184,1679443200,5024.21040571
28343,28818,27187,27320,1679529600,3199.65451220
27493,29380,27043,28352,1679616000,2789.44951461
27499,27810,27210,27497,1679702400,963.83840741
28004,28217,27453,27493,1679788800,1100.20331067
27142,28051,26541,27992,1679875200,2258.96393636
27272,27514,26647,27142,1679961600,2137.04196923
28353,28650,27258,27272,1680048000,2161.81292594
28039,29170,27706,28353,1680134400,2912.72588690
28476,28653,27533,28036,1680220800,2301.18236248
28469,28816,28237,28476,1680307200,656.33679146
28186,28544,27891,28469,1680393600,689.98223995
27816,28506,27236,28179,1680480000,2393.22622900
28178,28447,27686,27820,1680566400,1294.59736105
28183,28782,27823,28179,1680652800,1576.30733991
